name,email,rating,feedback
User1,user1@mail.com,5,"Excellent service and outstanding quality. The staff was friendly, communication was clear, and the overall experience was smooth."
User2,user2@mail.com,4,"Good support and quick delivery, but the price felt slightly high for the quality offered."
User3,user3@mail.com,3,"The experience was okay, service was average, and there was some delay in delivery."
User4,user4@mail.com,2,"Poor communication and slow support. The delivery time was disappointing."
User5,user5@mail.com,1,"Terrible experience, very bad service, high cost, and extremely poor quality."
User6,user6@mail.com,Excellent,"Amazing quality and great service. The team handled everything professionally."
User7,user7@mail.com,Good,"Good support and polite staff, but delivery took more time than expected."
User8,user8@mail.com,Average,"Average experience, communication was fine, but quality could improve."
User9,user9@mail.com,Bad,"Bad service and poor communication from the team."
User10,user10@mail.com,Very Good,"Very good quality and fast delivery. Support team was responsive."
User11,user11@mail.com,5,"Excellent experience with top-quality service, quick delivery, and clear communication."
User12,user12@mail.com,4,"Good quality and support, though the cost could be reduced."
User13,user13@mail.com,3,"The service was okay, but there was a noticeable delay."
User14,user14@mail.com,2,"Support was slow and delivery time was too long."
User15,user15@mail.com,1,"Worst experience, terrible service, bad quality, and no communication."
User16,user16@mail.com,Excellent,"Outstanding quality and excellent staff. The overall experience was fantastic."
User17,user17@mail.com,Good,"Good service and delivery, but pricing felt a bit expensive."
User18,user18@mail.com,Average,"Neutral experience, support was okay and delivery was on time."
User19,user19@mail.com,Poor,"Poor service and unhelpful support team."
User20,user20@mail.com,Very Good,"Very good communication, quality service, and fast delivery."
User21,user21@mail.com,5,"Amazing experience with great quality, excellent service, and professional staff."
User22,user22@mail.com,4,"Good delivery and support, but the price could be lower."
User23,user23@mail.com,3,"Average service and average quality, nothing special."
User24,user24@mail.com,2,"Delay in delivery and poor communication ruined the experience."
User25,user25@mail.com,1,"Extremely bad service, very high cost, and poor quality."
User26,user26@mail.com,Excellent,"Fantastic experience, excellent quality, and responsive support."
User27,user27@mail.com,Good,"Good communication and friendly team, but delivery was slow."
User28,user28@mail.com,Average,"Service was okay, quality was average, and price was reasonable."
User29,user29@mail.com,Bad,"Bad experience due to delays and poor service."
User30,user30@mail.com,Very Good,"Very good support and quick delivery with solid quality."
User31,user31@mail.com,5,"Perfect experience with excellent service, quality, and communication."
User32,user32@mail.com,4,"Good quality and service, though delivery time can improve."
User33,user33@mail.com,3,"Neutral experience, staff was polite but service was slow."
User34,user34@mail.com,2,"Poor quality and high price made the experience bad."
User35,user35@mail.com,1,"Terrible delivery delays, bad service, and no support."
User36,user36@mail.com,Excellent,"Top-notch quality, great staff, and smooth communication."
User37,user37@mail.com,Good,"Good service and reasonable cost, but support response was slow."
User38,user38@mail.com,Average,"Average experience, nothing remarkable in service or quality."
User39,user39@mail.com,Poor,"Poor support, bad communication, and long delays."
User40,user40@mail.com,Very Good,"Very good experience with quality service, fast delivery, and helpful team."
